id,title,price,currency_id,Marca,Diámetro,Funciones,Altura,Condición del ítem,Idiomas,Modelo,Sistemas operativos compatibles,Potencia,Tipos de alimentación,Frecuencia,Radiofrecuencia,Asistentes virtuales,Voltaje,Peso,Estándares inalámbricos,Con Bluetooth,Con cámara,Con sistema de audio multi-room,Con pantalla táctil,Con conexión Wi-Fi
MLA925390886,Google Mimi Home (grafito) En Español,6000.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA906682162,Google Home Mini Asistente Virtual Spotify Netflix Youtube,6499.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Chromecast,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Neerlandés,Portugués,Francés,Danés,Hindi,Indonesio,Italiano,Japonés,Noruego,Español España,Sueco,Mandarín,Tailandés",Home Mini,"Android 6.0,iOS 12.0",,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,181 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA926380000,Google Homemini,5000.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA926701603,Google Home - Asistente Virtual,45990.0,ARS,Google,96.4 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas",142.8 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Google Assistant,"Android 6.0,iOS 12.0",50 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,477 g,IEEE 802.11b/g/n/ac,Sí,No,,No,Sí
MLA863052117,Google Home Mini Parlante Original Español Ok Google Gris,6999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Holandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,"Adaptador,Micro USB",50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA885757042,Soporte Para Google Home Mini,600.0,ARS,Google,,,,Nuevo,,Home Mini,,,,,,,,,,,,,,
MLA897552534,Google Home Hub Pantalla 7 Smart Asistente Virtual ,25999.0,ARS,Google,96.4 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",142.8 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Hub,"Android 5.0,iOS 9.1",,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,100V/240V,477 g,IEEE 802.11b/g/n/ac,Sí,No,,No,Sí
MLA920271393,Google Home Mini - 1ra Generación. Asistente Virtual. Nuevo.,4750.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono,Clima,Tráfico",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",220 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA861709632,Google Home Mini Smart Speaker,16680.0,ARS,Google,96.4 mm,"Reproducción de música,Control por voz,Llamadas,Desactivar micrófono",142.8 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Holandés,Noruego,Sueco",Home,"Android 6.0,iOS 12.0",9 W,Adaptador,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,477 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA922679185,Google Home Mini 1° Gen,4900.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA929179444,Google Home Asistente + Poco Uso + Igual A Nuevo,27000.0,ARS,Google,96.4 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas",142.8 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home,"Android 6.0,iOS 12.0",220 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,477 g,IEEE 802.11b/g/n/ac,Sí,No,,Sí,Sí
MLA924395310,Google Home Mini Parlante Virtual Original En Español,5000.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA929647320,Google Homemini Con Asistente Virtual Google Assistant,4600.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA898578736,Google Home Mini ,5500.0,ARS,Google,98 mm,Asistente virtual,42 mm,Usado,Español,Home mini Charcoal,"Android 6.0,iOS 12.0",9 W,Corriente directa,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA926379063,Google Home Mini,4000.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA929992212,Google Home Mini Con Asistente Virtual Google Assistant,3799.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA929418544,Google Home Mini Asistente Virtual Sin Uso Traído De Afuera,5000.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA924198709,Oportunidad! Google Home Mini,5100.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA927960162,Google Home Mini Con Asistente Virtual ,4300.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Usado,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
