id,title,price,currency_id,Marca,Diámetro,Funciones,Altura,Condición del ítem,Idiomas,Modelo,Sistemas operativos compatibles,Potencia,Tipos de alimentación,Frecuencia,Radiofrecuencia,Asistentes virtuales,Voltaje,Peso,Estándares inalámbricos,Con Bluetooth,Con cámara,Con sistema de audio multi-room,Con pantalla táctil,Con conexión Wi-Fi
MLA880462252,Google Home Mini En Español Asistente Virtual Sin Caja Nuevo,4499.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Español/Inglés,Home Mini,"Android 5.0,iOS 9.1",45 W,220v,,,Google Assistant,120V/240V,173 g,,Sí,,,,Sí
MLA758202501,Google Home Mini Asistente Virtual Spotify Youtube Netflix,6297.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Inglés/Español,Home Mini,"Android 6.0,iOS 12.0",9 W,5V A 1.8A,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,1999.0,ARS,Google,,,118 mm,Nuevo,,Nest Hub,"Android 6.0,iOS 12.0",,,,"2.4 GHz,5 GHz",,0,480 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,Sí,
MLA758202796,Google Home Mini Asistente Virtual Spotify Netflix Youtube ,7997.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Inglés/Español,Home Mini,"Android 6.0,iOS 12.0",9 W,5V A 1.8A,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA758202723,Google Home Mini Asistente Virtual Spotify Youtube Netflix,7998.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Inglés/Español,Home Mini,"Android 6.0,iOS 12.0",9 W,5V A 1.8A,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA747593028,Google Home Mini Asistente Virtual En Español Con Fuente,6999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA880463160,Google Home Mini Parlante Asistente Virtual Nuevo Sin Caja,4499.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Español/Inglés,Home Mini,"Android 5.0,iOS 9.1",45 W,220v,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,120V/240V,173 g,IEEE 802.11b/g/n/ac,Sí,,Sí,,Sí
MLA820604268,Google Home Mini  Parlante / Spotify Netflix Youtube,8499.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Español/Inglés,Home Mini,"Android 6.0,iOS 12.0",9 W,220v,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA857710195,Soporte De Pared A 45º Google Home Hub - Base 138x60mm,699.0,ARS,Google,96.4 mm,"Reproducción de música,Control por voz,Llamadas",142.8 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Holandés,Noruego,Sueco",Home Hub,,,Adaptador,,,Google Assistant,,477 g,,Sí,,,,Sí
MLA925600838,Google Home Mini Con Asistente Virtual Google Assistant Char,7996.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
